frame,timestamp,inference_ms,processing_fps,black_pixels,lashing_pixels,messenger_pixels,black_confidence,lashing_confidence,messenger_confidence,bundle_confidence,contact_confidence,bundle_valid,messenger_intensity_mean,messenger_intensity_std,validation_reason,target_state,consecutive_valid_frames,target_found,target_locked,target_x,target_y,target_proximity,stale_frames,stand_found,stand_locked,stand_fresh,stand_confidence,stand_black_support,stand_x,stand_y,stand_proximity,stand_reason,pidnet_roi_x1,pidnet_roi_y1,pidnet_roi_x2,pidnet_roi_y2,mission_state,mission_reason,command_forward,command_right,command_down,command_yaw_rate
0,0.000000,313.059,2.712,26,0,0,0.725884,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,,,,,,,,,,
1,0.033333,71.817,3.603,282,0,0,0.769530,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.701628,0.723229,908,80,0.110185,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
2,0.066667,71.652,4.409,388,0,0,0.777807,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
3,0.100000,73.710,5.441,535,0,0,0.794261,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
4,0.133333,71.839,6.003,540,0,0,0.796745,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
5,0.166667,68.515,7.008,538,0,0,0.791486,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
6,0.200000,72.144,7.263,520,0,0,0.791269,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
7,0.233333,73.818,7.985,561,0,0,0.799795,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
8,0.266667,73.195,8.142,486,0,0,0.787716,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
9,0.300000,69.295,8.357,417,0,0,0.780306,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.711150,0.706436,742,72,0.133333,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
10,0.333333,71.741,8.466,355,0,0,0.773969,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.711150,0.706436,742,72,0.133333,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
11,0.366667,70.327,9.072,389,0,0,0.778169,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.711150,0.706436,742,72,0.133333,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
12,0.400000,70.642,9.099,620,0,0,0.800098,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.711150,0.706436,742,72,0.133333,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
13,0.433333,69.340,9.609,704,0,0,0.804552,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.711150,0.706436,742,72,0.133333,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
