frame,timestamp,inference_ms,processing_fps,black_pixels,lashing_pixels,messenger_pixels,black_confidence,lashing_confidence,messenger_confidence,bundle_confidence,contact_confidence,bundle_valid,messenger_intensity_mean,messenger_intensity_std,validation_reason,target_state,consecutive_valid_frames,target_found,target_locked,target_x,target_y,target_proximity,stale_frames,stand_found,stand_locked,stand_fresh,stand_confidence,stand_black_support,stand_x,stand_y,stand_proximity,stand_reason,pidnet_roi_x1,pidnet_roi_y1,pidnet_roi_x2,pidnet_roi_y2,mission_state,mission_reason,command_forward,command_right,command_down,command_yaw_rate
0,0.000000,297.601,2.912,1619,0,0,0.792915,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.744513,0.617225,842,92,0.225000,ACQUIRING STAND 1/4,,,,,,,,,,
1,0.033333,31.902,6.751,836,0,0,0.784276,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.744513,0.617225,842,92,0.225000,ACQUIRING STAND 1/4,,,,,,,,,,
2,0.066667,32.175,7.823,951,0,0,0.783026,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.718151,0.670851,812,69,0.169236,ACQUIRING STAND 2/4,,,,,,,,,,
3,0.100000,32.440,10.818,915,0,0,0.782632,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.718151,0.670851,812,69,0.169236,ACQUIRING STAND 2/4,,,,,,,,,,
4,0.133333,31.986,11.365,916,0,0,0.781559,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.658833,0.643709,865,70,0.172406,ACQUIRING STAND 3/4,,,,,,,,,,
5,0.166667,31.876,13.735,994,0,0,0.780528,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.658833,0.643709,865,70,0.172406,ACQUIRING STAND 3/4,,,,,,,,,,
6,0.200000,30.465,13.879,1054,0,0,0.781607,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.658833,0.643709,865,70,0.172406,STAND TARGET JUMP REJECTED,,,,,,,,,,
7,0.233333,32.165,15.935,1063,0,0,0.781748,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.658833,0.643709,865,70,0.172406,STAND TARGET JUMP REJECTED,,,,,,,,,,
8,0.266667,30.907,15.668,1072,0,0,0.782445,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.785633,0.627202,818,70,0.183763,ACQUIRING STAND 1/4,,,,,,,,,,
9,0.300000,32.462,17.583,1035,0,0,0.781397,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.785633,0.627202,818,70,0.183763,ACQUIRING STAND 1/4,,,,,,,,,,
10,0.333333,28.116,17.149,951,0,0,0.778183,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.785633,0.627202,818,70,0.183763,STAND TEMPORARILY LOST (1),,,,,,,,,,
11,0.366667,32.260,18.860,978,0,0,0.779644,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.785633,0.627202,818,70,0.183763,STAND TEMPORARILY LOST (1),,,,,,,,,,
12,0.400000,34.838,18.090,882,0,0,0.788901,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.773039,0.632687,724,79,0.207207,ACQUIRING STAND 1/4,,,,,,,,,,
13,0.433333,35.206,19.243,903,0,0,0.793367,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.773039,0.632687,724,79,0.207207,ACQUIRING STAND 1/4,,,,,,,,,,
14,0.466667,29.514,18.606,930,0,0,0.790591,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.575367,0.535674,677,83,0.225396,ACQUIRING STAND 2/4,,,,,,,,,,
15,0.500000,33.145,19.879,789,0,0,0.789991,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.575367,0.535674,677,83,0.225396,ACQUIRING STAND 2/4,,,,,,,,,,
16,0.533333,35.637,18.916,782,0,0,0.786983,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.575367,0.535674,677,83,0.225396,STAND TARGET JUMP REJECTED,,,,,,,,,,
17,0.566667,31.473,20.239,760,0,0,0.787479,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.575367,0.535674,677,83,0.225396,STAND TARGET JUMP REJECTED,,,,,,,,,,
18,0.600000,28.905,19.393,772,0,0,0.786490,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.699178,0.614274,827,66,0.180873,ACQUIRING STAND 1/4,,,,,,,,,,
19,0.633333,33.278,20.622,743,0,0,0.785443,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.699178,0.614274,827,66,0.180873,ACQUIRING STAND 1/4,,,,,,,,,,
20,0.666667,31.445,19.580,735,0,0,0.784361,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.699178,0.614274,827,66,0.180873,STAND TEMPORARILY LOST (1),,,,,,,,,,
21,0.700000,34.658,20.634,773,0,0,0.782565,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.699178,0.614274,827,66,0.180873,STAND TEMPORARILY LOST (1),,,,,,,,,,
22,0.733333,29.815,19.640,767,0,0,0.782014,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.594578,0.537583,723,77,0.213545,ACQUIRING STAND 1/4,,,,,,,,,,
23,0.766667,31.480,21.035,735,0,0,0.781695,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.594578,0.537583,723,77,0.213545,ACQUIRING STAND 1/4,,,,,,,,,,
24,0.800000,30.594,19.983,1103,0,0,0.782572,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.693722,0.569061,676,82,0.228248,ACQUIRING STAND 2/4,,,,,,,,,,
25,0.833333,31.415,21.369,1130,0,0,0.784033,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.693722,0.569061,676,82,0.228248,ACQUIRING STAND 2/4,,,,,,,,,,
26,0.866667,32.478,20.258,1142,0,0,0.784807,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.729261,0.584339,668,84,0.234864,ACQUIRING STAND 3/4,,,,,,,,,,
27,0.900000,32.751,21.420,1104,0,0,0.784076,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.729261,0.584339,668,84,0.234864,ACQUIRING STAND 3/4,,,,,,,,,,
28,0.933333,34.033,20.244,1123,0,0,0.785000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,1,1,0.776697,0.612566,695,82,0.227911,STAND LOCKED,,,,,,,,,,
29,0.966667,31.162,21.485,984,0,0,0.785387,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,1,1,0.776697,0.612566,695,82,0.227911,STAND LOCKED,,,,,,,,,,
30,1.000000,32.163,21.625,995,0,0,0.784920,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,1,0,0.776697,0.612566,695,82,0.227911,STAND TEMPORARILY LOST (1),,,,,,,,,,
31,1.033333,35.660,22.227,989,0,0,0.785401,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,1,0,0.776697,0.612566,695,82,0.227911,STAND TEMPORARILY LOST (1),,,,,,,,,,
