frame,timestamp,inference_ms,processing_fps,black_pixels,lashing_pixels,messenger_pixels,black_confidence,lashing_confidence,messenger_confidence,bundle_confidence,contact_confidence,bundle_valid,messenger_intensity_mean,messenger_intensity_std,validation_reason,target_state,consecutive_valid_frames,target_found,target_locked,target_x,target_y,target_proximity,stale_frames,stand_found,stand_locked,stand_fresh,stand_confidence,stand_black_support,stand_x,stand_y,stand_proximity,stand_reason,pidnet_roi_x1,pidnet_roi_y1,pidnet_roi_x2,pidnet_roi_y2,mission_state,mission_reason,command_forward,command_right,command_down,command_yaw_rate
0,0.000000,280.901,3.128,6736,123,819,0.891805,0.638978,0.785113,0.765392,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.702841,0.872826,782,156,0.259259,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
1,0.033333,67.374,4.608,2604,41,0,0.853082,0.613325,0.000000,0.733204,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.702841,0.872826,782,156,0.259259,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
2,0.066667,59.536,5.214,749,1869,215,0.809780,0.695356,0.822358,0.752568,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,0,0,1920,1080,,,,,,
3,0.100000,59.014,5.987,4662,1802,0,0.823371,0.705519,0.000000,0.764445,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,0,0,1920,1080,,,,,,
4,0.133333,62.404,5.995,3709,3106,17,0.805347,0.729862,0.732800,0.767605,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,0,0,1920,1080,,,,,,
5,0.166667,63.539,6.108,3945,2757,304,0.801176,0.728878,0.770540,0.765027,0.000000,0,0.000,0.000,INSUFFICIENT LASHING PATTERN,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,0,0,1920,1080,,,,,,
6,0.200000,62.427,6.098,4782,2885,6,0.821364,0.727270,0.713209,0.774317,0.000000,0,0.000,0.000,INSUFFICIENT LASHING PATTERN,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,0,0,1920,1080,,,,,,
7,0.233333,61.610,6.134,4949,3471,0,0.810745,0.704463,0.000000,0.757604,0.725241,1,0.000,0.000,VALID,CANDIDATE,1,1,0,690,759,219.000,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,0,0,1920,1080,,,,,,
8,0.266667,56.108,6.969,206,0,0,0.817883,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,STAND TARGET JUMP REJECTED,419,598,995,922,,,,,,
9,0.300000,57.319,7.551,37,0,0,0.762307,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.949853,0.586691,726,486,0.885185,ACQUIRING STAND 1/4,419,598,995,922,,,,,,
