frame,timestamp,inference_ms,processing_fps,black_pixels,lashing_pixels,messenger_pixels,black_confidence,lashing_confidence,messenger_confidence,bundle_confidence,contact_confidence,bundle_valid,messenger_intensity_mean,messenger_intensity_std,validation_reason,target_state,consecutive_valid_frames,target_found,target_locked,target_x,target_y,target_proximity,stale_frames,stand_found,stand_locked,stand_fresh,stand_confidence,stand_black_support,stand_x,stand_y,stand_proximity,stand_reason,pidnet_roi_x1,pidnet_roi_y1,pidnet_roi_x2,pidnet_roi_y2,mission_state,mission_reason,command_forward,command_right,command_down,command_yaw_rate
0,0.000000,304.905,2.790,4929,0,3157,0.840232,0.000000,0.910297,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.744513,0.617225,842,92,0.225000,ACQUIRING STAND 1/4,,,,,,,,,,
1,0.033333,24.325,7.183,4737,0,3144,0.844641,0.000000,0.916043,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.744513,0.617225,842,92,0.225000,ACQUIRING STAND 1/4,,,,,,,,,,
2,0.066667,25.706,8.296,4709,0,3181,0.848216,0.000000,0.914926,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.718151,0.670851,812,69,0.169236,ACQUIRING STAND 2/4,,,,,,,,,,
3,0.100000,23.363,12.606,4649,0,3176,0.849085,0.000000,0.915225,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.718151,0.670851,812,69,0.169236,ACQUIRING STAND 2/4,,,,,,,,,,
4,0.133333,22.568,12.806,4717,0,3178,0.848743,0.000000,0.914420,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.658833,0.643709,865,70,0.172406,ACQUIRING STAND 3/4,,,,,,,,,,
5,0.166667,25.453,15.928,4323,0,3000,0.849545,0.000000,0.912202,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.658833,0.643709,865,70,0.172406,ACQUIRING STAND 3/4,,,,,,,,,,
6,0.200000,23.944,15.248,4422,0,2993,0.850652,0.000000,0.911705,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.658833,0.643709,865,70,0.172406,STAND TARGET JUMP REJECTED,,,,,,,,,,
7,0.233333,25.166,17.796,4479,0,3018,0.850421,0.000000,0.913073,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.658833,0.643709,865,70,0.172406,STAND TARGET JUMP REJECTED,,,,,,,,,,
8,0.266667,24.780,17.093,4425,0,3017,0.850601,0.000000,0.912655,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.785633,0.627202,818,70,0.183763,ACQUIRING STAND 1/4,,,,,,,,,,
9,0.300000,30.462,18.977,4417,0,3003,0.850978,0.000000,0.912967,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.785633,0.627202,818,70,0.183763,ACQUIRING STAND 1/4,,,,,,,,,,
