frame,timestamp,inference_ms,processing_fps,black_pixels,lashing_pixels,messenger_pixels,black_confidence,lashing_confidence,messenger_confidence,bundle_confidence,contact_confidence,bundle_valid,messenger_intensity_mean,messenger_intensity_std,validation_reason,target_state,consecutive_valid_frames,target_found,target_locked,target_x,target_y,target_proximity,stale_frames,stand_found,stand_locked,stand_fresh,stand_confidence,stand_black_support,stand_x,stand_y,stand_proximity,stand_reason,pidnet_roi_x1,pidnet_roi_y1,pidnet_roi_x2,pidnet_roi_y2,mission_state,mission_reason,command_forward,command_right,command_down,command_yaw_rate
0,0.000000,334.589,2.607,6736,123,819,0.891805,0.638978,0.785113,0.765392,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.702841,0.872826,782,156,0.259259,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
1,0.033333,71.529,4.018,2604,41,0,0.853082,0.613325,0.000000,0.733204,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.702841,0.872826,782,156,0.259259,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
2,0.066667,65.790,4.605,749,1869,215,0.809780,0.695356,0.822358,0.752568,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,0,0,1920,1080,,,,,,
3,0.100000,68.925,5.253,4662,1802,0,0.823371,0.705519,0.000000,0.764445,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,0,0,1920,1080,,,,,,
4,0.133333,65.084,5.306,3709,3106,17,0.805347,0.729862,0.732800,0.767605,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,0,0,1920,1080,,,,,,
5,0.166667,68.606,5.387,3945,2757,304,0.801176,0.728878,0.770540,0.765027,0.000000,0,0.000,0.000,INSUFFICIENT LASHING PATTERN,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,0,0,1920,1080,,,,,,
6,0.200000,69.831,5.399,4782,2885,6,0.821364,0.727270,0.713209,0.774317,0.000000,0,0.000,0.000,INSUFFICIENT LASHING PATTERN,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,0,0,1920,1080,,,,,,
7,0.233333,72.744,5.424,4949,3471,0,0.810745,0.704463,0.000000,0.757604,0.725241,1,0.000,0.000,VALID,CANDIDATE,1,1,0,690,759,219.000,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,0,0,1920,1080,,,,,,
8,0.266667,63.800,5.740,4376,762,70,0.809709,0.696790,0.791700,0.753249,0.000000,0,0.000,0.000,COMPONENTS TOO FAR,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,STAND TARGET JUMP REJECTED,40,97,1768,1069,,,,,,
9,0.300000,62.329,5.963,4411,1994,0,0.836359,0.727841,0.000000,0.782100,0.000000,0,0.000,0.000,COMPONENTS TOO FAR,NO BUNDLE,0,0,0,,,,0,1,0,1,0.949853,0.586691,726,486,0.885185,ACQUIRING STAND 1/4,40,97,1768,1069,,,,,,
10,0.333333,65.042,6.128,3693,2291,0,0.842841,0.721915,0.000000,0.782378,0.000000,0,0.000,0.000,COMPONENTS TOO FAR,NO BUNDLE,0,0,0,,,,0,1,0,1,1.000000,0.622206,836,508,0.824074,ACQUIRING STAND 2/4,40,97,1768,1069,,,,,,
11,0.366667,71.002,6.606,2746,1478,0,0.838117,0.725765,0.000000,0.781941,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,0,1,1.000000,0.622206,836,508,0.824074,ACQUIRING STAND 2/4,40,97,1768,1069,,,,,,
12,0.400000,66.292,6.880,1499,1505,0,0.822401,0.740438,0.000000,0.781419,0.000000,0,0.000,0.000,COMPONENTS TOO FAR,NO BUNDLE,0,0,0,,,,0,1,0,1,0.936687,0.630283,755,418,0.700833,ACQUIRING STAND 3/4,40,97,1768,1069,,,,,,
13,0.433333,65.643,7.303,1293,2312,0,0.817834,0.760645,0.000000,0.789239,0.000000,0,0.000,0.000,COMPONENTS TOO FAR,NO BUNDLE,0,0,0,,,,0,1,0,1,0.936687,0.630283,755,418,0.700833,ACQUIRING STAND 3/4,40,97,1768,1069,,,,,,
14,0.466667,65.579,7.451,1591,3148,0,0.820722,0.771047,0.000000,0.795885,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,1,1,0.945000,0.671069,690,424,0.714634,STAND LOCKED,40,97,1768,1069,,,,,,
15,0.500000,68.386,7.918,1339,1383,0,0.825374,0.751631,0.000000,0.788503,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,1,1,0.945000,0.671069,690,424,0.714634,STAND LOCKED,40,97,1768,1069,,,,,,
16,0.533333,66.546,7.933,2129,2326,0,0.849805,0.790419,0.000000,0.820112,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,1,1,0.758012,0.603967,732,532,0.536493,STAND LOCKED,40,97,1768,1069,,,,,,
17,0.566667,68.093,8.202,739,2641,0,0.797745,0.768767,0.000000,0.783256,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,1,1,0.758012,0.603967,732,532,0.536493,STAND LOCKED,40,97,1768,1069,,,,,,
18,0.600000,68.570,8.243,747,2894,0,0.814534,0.773903,0.000000,0.794218,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,1,1,0.877500,0.696732,718,486,0.606051,STAND LOCKED,40,97,1768,1069,,,,,,
19,0.633333,66.794,8.965,512,2203,0,0.787372,0.768077,0.000000,0.777725,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,1,1,0.877500,0.696732,718,486,0.606051,STAND LOCKED,40,97,1768,1069,,,,,,
20,0.666667,65.919,9.088,541,2114,0,0.777203,0.772835,0.000000,0.775019,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,1,1,1.000000,0.695407,812,440,0.681658,STAND LOCKED,40,97,1768,1069,,,,,,
21,0.700000,69.189,9.307,759,2558,0,0.789002,0.765356,0.000000,0.777179,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,1,1,1.000000,0.695407,812,440,0.681658,STAND LOCKED,40,97,1768,1069,,,,,,
